DT,obs,action,nex_obs,holdAmt,reward,totalReward,tradingCost
2016-01-04,"(111.19948868000002, 110.62966112000002, 110.30431563000002, 0.0, 79.41981396783734, 0.0, 0.0, 0.0)",2,"(111.29445822000002, 110.72460667333335, 110.39709523000002, 0.0, 66.94157342523208, 0.0, 0.0, 0.0)",-1,0.0035473004965054233,0.0035473004965054233,0
2016-01-05,"(111.29445822000002, 110.72460667333335, 110.39709523000002, 0.0, 66.94157342523208, 0.0, 0.0, 0.0)",2,"(111.30863631000003, 110.81932604000004, 110.470751375, 0.0, 59.32437443871138, 0.0, 0.0, 0.0)",-1,0.0027014333311506933,0.006248733827656117,0
2016-01-06,"(111.30863631000003, 110.81932604000004, 110.470751375, 0.0, 59.32437443871138, 0.0, 0.0, 0.0)",2,"(111.32300975000001, 110.92707540000002, 110.55311075, 0.0, 63.752501945618334, 0.0, 0.0, 0.0)",-1,-0.0027003936209959445,0.003548340206660172,0
2016-01-07,"(111.32300975000001, 110.92707540000002, 110.55311075, 0.0, 63.752501945618334, 0.0, 0.0, 0.0)",2,"(111.35844983000001, 111.05740963333336, 110.65241392, 0.0, 68.44656778396381, 0.0, 0.0, 0.0)",-1,-0.003417337700910128,0.00013100250575004413,0
2016-01-08,"(111.35844983000001, 111.05740963333336, 110.65241392, 0.0, 68.44656778396381, 0.0, 0.0, 0.0)",2,"(111.37227835000002, 111.18936147333335, 110.764522605, 0.0, 71.54977943804931, 0.0, 0.0, 0.0)",-1,-0.002663644318509961,-0.002532641812759917,0
2016-01-11,"(111.37227835000002, 111.18936147333335, 110.764522605, 0.0, 71.54977943804931, 0.0, 0.0, 0.0)",2,"(111.38615828000002, 111.30162095333336, 110.87244161000001, 0.0, 72.13672423249014, 0.0, 0.0, 0.0)",-1,-0.0005283680783105815,-0.0030610098910704986,0
2016-01-12,"(111.38615828000002, 111.30162095333336, 110.87244161000001, 0.0, 72.13672423249014, 0.0, 0.0, 0.0)",2,"(111.41942897000001, 111.40281076000002, 111.01228444500002, 0.0, 75.31466328440945, 0.0, 0.0, 0.0)",-1,-0.003059971433756914,-0.0061209813248274125,0
2016-01-13,"(111.41942897000001, 111.40281076000002, 111.01228444500002, 0.0, 75.31466328440945, 0.0, 0.0, 0.0)",2,"(111.49794823000002, 111.50848327333337, 111.16516413000002, 0.0, 78.17083452912645, 0.0, 0.0, 0.0)",-1,-0.003249671848008173,-0.009370653172835586,0
2016-01-14,"(111.49794823000002, 111.50848327333337, 111.16516413000002, 0.0, 78.17083452912645, 0.0, 0.0, 0.0)",2,"(111.60008393000001, 111.60131770666668, 111.31482059000002, 0.0, 77.53818658714803, 0.0, 0.0, 0.0)",-1,0.0002121031269805007,-0.009158550045855085,0
2016-01-15,"(111.60008393000001, 111.60131770666668, 111.31482059000002, 0.0, 77.53818658714803, 0.0, 0.0, 0.0)",2,"(111.68639651000001, 111.64941422000001, 111.44294259500002, -0.03658745038017086, 73.30021337072844, 0.0, 0.0, 0.0)",-1,0.0014073111562776797,-0.007751238889577405,0
2016-01-18,"(111.68639651000001, 111.64941422000001, 111.44294259500002, -0.03658745038017086, 73.30021337072844, 0.0, 0.0, 0.0)",2,"(111.79480388000002, 111.68199263333334, 111.54463105000002, -0.05980683977924417, 68.83765097826765, 0.0, 0.0, 0.0)",-1,0.0015521466658511285,-0.006199092223726277,0
2016-01-19,"(111.79480388000002, 111.68199263333334, 111.54463105000002, -0.05980683977924417, 68.83765097826765, 0.0, 0.0, 0.0)",2,"(111.92650897000003, 111.70023874, 111.61757264000002, -0.08323679748388224, 67.14682124497769, 0.0, 0.0, 0.0)",-1,0.000597060089215895,-0.005602032134510382,0
2016-01-20,"(111.92650897000003, 111.70023874, 111.61757264000002, -0.08323679748388224, 67.14682124497769, 0.0, 0.0, 0.0)",2,"(112.01946336000003, 111.71846428666667, 111.67123655500002, -0.10675867828671626, 64.87709881139878, 0.0, 0.0, 0.0)",-1,0.0007901330547017693,-0.0048118990798086125,0
2016-01-21,"(112.01946336000003, 111.71846428666667, 111.67123655500002, -0.10675867828671626, 64.87709881139878, 0.0, 0.0, 0.0)",2,"(112.07884738000003, 111.75693638666667, 111.71864860500003, -0.12042483741491272, 65.4968630537166, 0.0, 0.0, 0.0)",-1,-0.00039019300072595797,-0.0052020920805345705,0
2016-01-22,"(112.07884738000003, 111.75693638666667, 111.71864860500003, -0.12042483741491272, 65.4968630537166, 0.0, 0.0, 0.0)",2,"(112.12844891000002, 111.80866829333333, 111.75036363000004, -0.11701721703795753, 68.24459493536827, 0.0, 0.0, 0.0)",-1,-0.0017760121310772536,-0.006978104211611824,0
2016-01-25,"(112.12844891000002, 111.80866829333333, 111.75036363000004, -0.11701721703795753, 68.24459493536827, 0.0, 0.0, 0.0)",2,"(112.12012395000002, 111.85206477333332, 111.75314111500003, -0.1487142655788627, 55.74044655808632, 0.0, 0.0, 0.0)",-1,0.004637228755561051,-0.0023408754560507727,0
