DT,obs,action,nex_obs,holdAmt,reward,totalReward,tradingCost
2017-01-05,"(1.0,)",1,"(1.0,)",1,-73.47000000000116,-73.47000000000116,0
2017-01-06,"(1.0,)",1,"(1.0,)",1,-66.35999999999694,-139.8299999999981,0
2017-01-10,"(1.0,)",1,"(0.0,)",1,-152.89000000000306,-292.72000000000116,0
2017-01-11,"(0.0,)",1,"(0.0,)",1,63.22999999999956,-229.4900000000016,0
2017-01-12,"(0.0,)",1,"(0.0,)",1,-229.96999999999753,-459.4599999999991,0
2017-01-13,"(0.0,)",1,"(0.0,)",1,152.5799999999981,-306.880000000001,0
2017-01-16,"(0.0,)",1,"(-1.0,)",1,-192.03999999999724,-498.91999999999825,0
2017-01-17,"(-1.0,)",2,"(-1.0,)",-1,281.71000000000276,-217.2099999999955,0
2017-01-18,"(-1.0,)",2,"(-1.0,)",-1,-80.84000000000015,-298.04999999999563,0
2017-01-19,"(-1.0,)",2,"(-1.0,)",-1,-177.88000000000102,-475.92999999999665,0
2017-01-20,"(-1.0,)",2,"(-1.0,)",-1,-65.65999999999985,-541.5899999999965,0
2017-01-23,"(-1.0,)",2,"(-1.0,)",-1,246.88000000000102,-294.7099999999955,0
2017-01-24,"(-1.0,)",2,"(-1.0,)",-1,103.03999999999724,-191.66999999999825,0
2017-01-25,"(-1.0,)",2,"(-1.0,)",-1,-269.5099999999984,-461.17999999999665,0
2017-01-26,"(-1.0,)",2,"(-1.0,)",-1,-344.8899999999994,-806.0699999999961,0
2017-01-27,"(-1.0,)",2,"(-1.0,)",-1,-65.01000000000204,-871.0799999999981,0
2017-01-30,"(-1.0,)",2,"(-1.0,)",-1,98.55000000000291,-772.5299999999952,0
2017-01-31,"(-1.0,)",2,"(-1.0,)",-1,327.5099999999984,-445.0199999999968,0
2017-02-01,"(-1.0,)",2,"(0.0,)",-1,-106.7400000000016,-551.7599999999984,0
2017-02-02,"(0.0,)",1,"(0.0,)",1,-233.5,-785.2599999999984,0
2017-02-03,"(0.0,)",1,"(0.0,)",1,3.6199999999989814,-781.6399999999994,0
2017-02-06,"(0.0,)",1,"(0.0,)",1,58.5099999999984,-723.130000000001,0
2017-02-07,"(0.0,)",1,"(0.0,)",1,-65.93000000000029,-789.0600000000013,0
2017-02-08,"(0.0,)",1,"(1.0,)",1,96.81999999999971,-692.2400000000016,0
2017-02-09,"(1.0,)",1,"(1.0,)",1,-99.93000000000029,-792.1700000000019,0
2017-02-10,"(1.0,)",1,"(0.0,)",1,471.26000000000204,-320.90999999999985,0
2017-02-13,"(0.0,)",1,"(0.0,)",1,80.22000000000116,-240.6899999999987,0
2017-02-14,"(0.0,)",1,"(0.0,)",1,-220.1700000000019,-460.8600000000006,0
2017-02-15,"(0.0,)",1,"(0.0,)",1,199.0,-261.8600000000006,0
2017-02-16,"(0.0,)",1,"(0.0,)",1,-90.45000000000073,-352.3100000000013,0
2017-02-17,"(0.0,)",1,"(1.0,)",1,-112.90999999999985,-465.22000000000116,0
2017-02-20,"(1.0,)",1,"(0.0,)",1,16.460000000002765,-448.7599999999984,0
2017-02-21,"(0.0,)",1,"(0.0,)",1,130.35999999999694,-318.40000000000146,0
2017-02-22,"(0.0,)",1,"(0.0,)",1,-1.569999999999709,-319.97000000000116,0
2017-02-23,"(0.0,)",1,"(1.0,)",1,-8.409999999999854,-328.380000000001,0
2017-02-24,"(1.0,)",1,"(1.0,)",1,-87.91999999999825,-416.2999999999993,0
2017-02-27,"(1.0,)",1,"(1.0,)",1,-176.0699999999997,-592.369999999999,0
2017-02-28,"(1.0,)",1,"(1.0,)",1,11.520000000000437,-580.8499999999985,0
2017-03-01,"(1.0,)",1,"(1.0,)",1,274.5499999999993,-306.2999999999993,0
2017-03-02,"(1.0,)",1,"(0.0,)",1,171.2599999999984,-135.04000000000087,0
