DT,obs,action,nex_obs,holdAmt,reward,totalReward,tradingCost
2017-01-04,"(-1.0, 1.0, 0.0, 0.0, 0.0, -1.0)",2,"(0.0, 0.0, 0.0, 0.0, 0.0, -1.0)",-1,-6.769999999999982,-6.769999999999982,0
2017-01-05,"(0.0, 0.0, 0.0, 0.0, 0.0, -1.0)",1,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1,13.720000000000027,6.9500000000000455,0
2017-01-06,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1,2.8199999999999363,9.769999999999982,0
2017-01-09,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1,-2.869999999999891,6.900000000000091,0
2017-01-10,"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1,"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1,-0.2699999999999818,6.630000000000109,0
2017-01-11,"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1,"(1.0, 0.0, 0.0, 0.0, -1.0, 0.0)",1,-3.6100000000000136,3.0200000000000955,0
2017-01-12,"(1.0, 0.0, 0.0, 0.0, -1.0, 0.0)",1,"(1.0, 0.0, 0.0, 0.0, -1.0, 0.0)",1,-0.7899999999999636,2.230000000000132,0
2017-01-13,"(1.0, 0.0, 0.0, 0.0, -1.0, 0.0)",1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0)",1,4.8700000000000045,7.100000000000136,0
2017-01-16,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0)",1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0)",1,1.0299999999999727,8.13000000000011,0
2017-01-17,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0)",1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0)",1,1.2900000000000773,9.420000000000186,0
2017-01-18,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0)",1,"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1,-5.150000000000091,4.2700000000000955,0
2017-01-19,"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1,"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1,1.4600000000000364,5.730000000000132,0
2017-01-20,"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1,"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1,4.4500000000000455,10.180000000000177,0
2017-01-23,"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1,"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1,7.490000000000009,17.670000000000186,0
2017-01-24,"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1,"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1,1.6599999999999682,19.330000000000155,0
2017-01-25,"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1,"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1,-7.220000000000027,12.110000000000127,0
2017-01-26,"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1,"(1.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1,1.7899999999999636,13.900000000000091,0
