DT,TRADE_CODE,OPEN,HIGH,LOW,CLOSE,AMT,Truth
2009/1/5,AU(T+D).SGE,192,192.75,190.95,191.91,722332480,1
2009/1/6,AU(T+D).SGE,188,188.6,185.85,187.17,2104194080,1
2009/1/7,AU(T+D).SGE,186.01,189.8,186.01,189.51,1710414300,1
2009/1/8,AU(T+D).SGE,189,190.5,185.1,187.23,2239474460,1
2009/1/9,AU(T+D).SGE,187,189.3,185.3,189.25,2189797380,1
2009/1/12,AU(T+D).SGE,187.77,188.26,187.21,187.83,599008400,1
2009/1/13,AU(T+D).SGE,186.78,187.18,181.2,181.45,3602070080,1
2009/1/14,AU(T+D).SGE,181.3,183.25,181.2,182.97,1493547220,1
2009/1/15,AU(T+D).SGE,182.16,182.59,179.21,180.22,1783864320,1
2009/1/16,AU(T+D).SGE,179.9,182.7,178.3,182.37,1878082760,1
2009/1/19,AU(T+D).SGE,185.4,185.5,184.51,185.22,1391094520,1
2009/1/20,AU(T+D).SGE,184.51,184.79,182.6,182.87,1053754060,1
2009/1/21,AU(T+D).SGE,186.54,189.8,186.25,187.42,3580780460,1
2009/1/22,AU(T+D).SGE,187.9,188.3,186.6,187.86,1353176540,1
2009/1/23,AU(T+D).SGE,187.8,189.15,186.5,188.43,2185376740,1
2009/2/2,AU(T+D).SGE,202.9,203,198.72,199.76,4564811680,1
2009/2/3,AU(T+D).SGE,199.95,201.19,197.81,198.06,2306650960,1
2009/2/4,AU(T+D).SGE,198.1,200.2,196.3,197.36,2198412960,1
2009/2/5,AU(T+D).SGE,196.82,199.4,196.5,198.89,1668756000,1
2009/2/6,AU(T+D).SGE,201.25,202.4,200,201.08,3559842680,1
2009/2/9,AU(T+D).SGE,198.9,199.69,198.55,198.82,816922800,1
2009/2/10,AU(T+D).SGE,198.71,199,196.5,196.76,1511805960,1
2009/2/11,AU(T+D).SGE,198.11,200.88,198.1,200.85,2455233540,1
2009/2/12,AU(T+D).SGE,202.51,207.3,201.2,206.5,5362973120,1
2009/2/13,AU(T+D).SGE,206.6,208.49,205.5,206.69,3329712760,1
2009/2/16,AU(T+D).SGE,205.66,206.45,205.5,206.38,716785200,1
2009/2/17,AU(T+D).SGE,206.79,211.3,205.65,210.95,3406587400,1
2009/2/18,AU(T+D).SGE,211.25,214.1,211,213.69,3452111860,1
2009/2/19,AU(T+D).SGE,213.61,215.68,211.3,214.45,3571974380,1
2009/2/20,AU(T+D).SGE,214.99,215.8,213.67,214.67,2409497320,1
2009/2/23,AU(T+D).SGE,218,218,216.5,216.62,2454025900,1
2009/2/24,AU(T+D).SGE,216.54,218.09,214.58,217.35,3545475400,1
2009/2/25,AU(T+D).SGE,217.5,218.35,209.81,210.3,4379658520,1
2009/2/26,AU(T+D).SGE,210.45,214.6,208,209.39,3280031280,1
2009/2/27,AU(T+D).SGE,206.5,207.9,205.8,207.5,3271861860,1
2009/3/2,AU(T+D).SGE,209.2,209.85,208.62,209.84,1253003380,1
2009/3/3,AU(T+D).SGE,208.5,209.3,203,203.16,3878597960,1
2009/3/4,AU(T+D).SGE,203.2,204.4,200.1,201.29,3565626420,1
2009/3/5,AU(T+D).SGE,201,203.2,200,201.49,2671457740,1
2009/3/6,AU(T+D).SGE,201.59,207.2,200.1,206.94,2973463240,1
2009/3/9,AU(T+D).SGE,206.8,206.8,205.1,205.2,1179179260,1
2009/3/10,AU(T+D).SGE,206.5,206.74,201.1,201.45,2329256200,1
2009/3/11,AU(T+D).SGE,201,201,196.5,197.68,2895708260,1
2009/3/12,AU(T+D).SGE,197.88,201.55,196.52,201.35,2658796740,1
2009/3/13,AU(T+D).SGE,199.4,204.19,199,203.24,2691476680,1
2009/3/16,AU(T+D).SGE,203.8,204,203.5,203.87,388353180,1
2009/3/17,AU(T+D).SGE,203.12,203.48,201.1,202.2,1459795140,1
2009/3/18,AU(T+D).SGE,201,202.45,199.7,200.26,1538508300,1
2009/3/19,AU(T+D).SGE,199.35,205.25,194.58,204.65,4945443500,1
2009/3/20,AU(T+D).SGE,208,210.6,207.5,209.99,5125364900,1
2009/3/23,AU(T+D).SGE,209.03,210.2,208.4,210.18,1305394180,1
2009/3/24,AU(T+D).SGE,208.2,209.77,206,206.05,2358525220,1
2009/3/25,AU(T+D).SGE,202.2,204.25,202.16,203.55,2570448320,1
2009/3/26,AU(T+D).SGE,202.85,206.57,202.12,205.08,2791837040,1
2009/3/27,AU(T+D).SGE,207.05,207.4,204.65,204.71,2342231400,1
2009/3/30,AU(T+D).SGE,203.55,203.65,202.51,203.49,1052807720,1
2009/3/31,AU(T+D).SGE,201.3,204.5,201.1,202.12,3600122340,1
2009/4/1,AU(T+D).SGE,203,203,200.65,202,1843708920,1
2009/4/2,AU(T+D).SGE,203.65,203.9,202.2,202.88,2407470560,1
2009/4/3,AU(T+D).SGE,200.98,201.4,197.2,199.07,4457472320,1
2009/4/7,AU(T+D).SGE,192.3,193.75,192.3,193.43,2651640960,1
2009/4/8,AU(T+D).SGE,193.1,195.69,192.61,195.47,1843983940,1
2009/4/9,AU(T+D).SGE,194.66,195.2,193,193.84,1932967180,1
2009/4/10,AU(T+D).SGE,192.51,194.88,192.51,194.85,1420386520,1
2009/4/13,AU(T+D).SGE,194.99,195.55,194.41,195.51,796360040,1
2009/4/14,AU(T+D).SGE,197,197.59,196.5,197.43,2079742880,1
2009/4/15,AU(T+D).SGE,196.07,196.55,195.1,195.66,1494790720,1
2009/4/16,AU(T+D).SGE,195.3,196.5,195.2,196.11,1006794320,1
2009/4/17,AU(T+D).SGE,195.5,195.89,192.22,192.27,2749795960,1
2009/4/20,AU(T+D).SGE,190.32,191.7,190.32,191.69,1354149400,1
2009/4/21,AU(T+D).SGE,192.88,196.15,192.1,195.84,2569971000,1
2009/4/22,AU(T+D).SGE,196.15,196.5,193.7,195.08,1715106400,1
2009/4/23,AU(T+D).SGE,195.08,196.3,194.31,196.1,1395613360,1
2009/4/24,AU(T+D).SGE,196.45,200.16,196,200.12,2594559480,1
2009/4/27,AU(T+D).SGE,200.74,201.19,200.4,200.4,804945200,1
2009/4/28,AU(T+D).SGE,198.8,200.31,196.8,197.16,1841516420,1
2009/4/29,AU(T+D).SGE,195.59,197.1,195.16,196.82,2027545420,1
2009/4/30,AU(T+D).SGE,198.18,198.18,195.95,197.29,1301244240,1
2009/5/4,AU(T+D).SGE,195.4,196.6,195.2,196.58,1050195840,1
2009/5/5,AU(T+D).SGE,196,199,195.8,198.2,1726996340,1
2009/5/6,AU(T+D).SGE,200.1,200.4,197.24,198.14,1853137840,1
2009/5/7,AU(T+D).SGE,199.1,200.29,198.6,200.04,1951012360,1
2009/5/8,AU(T+D).SGE,201.4,201.8,199.5,200.41,2508529860,1
2009/5/11,AU(T+D).SGE,200.83,201.15,200.41,200.76,1038055720,1
2009/5/12,AU(T+D).SGE,200,200.83,199.86,200.5,881918740,1
2009/5/13,AU(T+D).SGE,201.5,203.37,200.7,203,2648789300,1
2009/5/14,AU(T+D).SGE,201.6,204,201.6,202.35,1728563220,1
2009/5/15,AU(T+D).SGE,202.8,203.4,202.63,203.19,1262741740,1
2009/5/18,AU(T+D).SGE,203.51,204.6,203.51,204.4,1779513320,1
