DT,流动性,基本面,风险偏好,T_price,TF_price,反转信号,弹性信号,基本面空间,价格空间,国债10Y,流动性新
2015/11/30,0.314123073,0.325564379,0.373533333,108.9404637,100.17,0,0,0,1,3.0404,0.43933108
2015/12/1,0.309706813,0.326031412,0.3922,109.0020495,99.97,0,0,0,1,3.0504,0.436733332
2015/12/2,0.307453319,0.32734313,0.377533333,109.0016382,100.015,0,0,0,1,3.0454,0.433427278
2015/12/3,0.310497006,0.32758166,0.368866667,109.1042468,100.105,0,0,0,1,3.0304,0.443139544
2015/12/4,0.300970354,0.331141769,0.364733333,109.1629538,100.04,0,0,0,1,3.0254,0.418434135
2015/12/7,0.301996488,0.327905209,0.350933333,109.2455137,100.095,0,0,0,1,3.028,0.420375445
2015/12/8,0.298687094,0.324905152,0.332666667,109.370433,100.205,0,0,0,1,3.0005,0.416835054
2015/12/9,0.299233766,0.32448754,0.327133333,109.4109418,100.215,0,0,0,1,2.9968,0.416651586
2015/12/10,0.300673416,0.323304452,0.332466667,109.4515535,100.17,0,0,0,1,3.0018,0.416097121
2015/12/11,0.304022628,0.327378431,0.318133333,109.5943625,100.285,0,0,0,1,2.9931,0.415791193
2015/12/14,0.307027744,0.327318142,0.3102,109.2978461,100.075,0,0,0,1,3.0306,0.42102115
2015/12/15,0.307285219,0.326912858,0.314466667,109.4013801,100.195,0,0,0,1,3.0157,0.42190246
2015/12/16,0.306909796,0.326308163,0.3374,109.4419917,100.25,0,0,0,1,3.0007,0.422311124
2015/12/17,0.307867553,0.32614785,0.333733333,109.7144496,100.235,0,0,0,1,2.9857,0.420644391
2015/12/18,0.307306806,0.329331759,0.321466667,110.0688504,100.595,0,0,0,1,2.9408,0.417031816
2015/12/21,0.309604006,0.328941429,0.319066667,110.5768557,100.795,0,0,0,1,2.8811,0.418228663
2015/12/22,0.310116637,0.330731803,0.327066667,110.8738861,100.74,0,0,0,1,2.861,0.414546332
2015/12/23,0.311565262,0.331570412,0.338666667,111.0426044,100.815,0,0,0,1,2.846,0.41782829
2015/12/24,0.309783129,0.33163037,0.3358,111.555442,100.945,0,0,0,1,2.801,0.418481733
2015/12/25,0.307162591,0.336968117,0.332066667,111.6139433,100.84,0,0,0,1,2.8061,0.413987869
2015/12/28,0.306798054,0.33553741,0.317866667,111.7619959,100.94,-2,0,0,1,2.7961,0.414033683
2015/12/29,0.307472519,0.339122952,0.320066667,111.6737812,100.83,-4,0,0,1,2.8061,0.416592787
2015/12/30,0.310345597,0.340230114,0.318266667,111.4137639,100.805,-4,0,0,1,2.8261,0.424330091
2015/12/31,0.310759746,0.344544196,0.3178,111.4137639,100.7,-4,0,0,1,2.8212,0.428500787
2016/1/4,0.311836707,0.340617442,0.2818,111.0185458,100.605,-4,0,0,1,2.871,0.432365364
2016/1/5,0.315367763,0.342909557,0.283066667,110.7186366,100.375,-4,0,0,1,2.8911,0.434594708
2016/1/6,0.312229809,0.343986378,0.270666667,111.0176205,100.61,-4,0,0,1,2.8861,0.432867251
2016/1/7,0.309515447,0.339540958,0.253333333,111.3970052,100.56,-4,0,0,1,2.8511,0.42861364
2016/1/8,0.304604491,0.334394738,0.258933333,111.6937272,100.77,-3,0,0,1,2.8362,0.417887995
2016/1/11,0.301701511,0.33205725,0.252533333,111.7527426,100.785,-3,0,1,1,2.8187,0.411931082
2016/1/12,0.296879609,0.331978907,0.2598,112.0947028,100.975,-3,0,1,1,2.7887,0.403831878
2016/1/13,0.293831944,0.329971307,0.261933333,112.4589738,101.095,-3,0,1,1,2.7237,0.398110535
2016/1/14,0.296309438,0.330172077,0.257466667,112.4351209,100.905,-3,-1,1,1,2.7513,0.401061383
2016/1/15,0.297037567,0.326172581,0.244133333,112.2768897,101.035,-3,-1,1,1,2.7464,0.405405918
2016/1/18,0.300690773,0.328846551,0.2464,112.1026195,100.795,-3,-1,1,1,2.7764,0.412668209
2016/1/19,0.301250393,0.332636043,0.250733333,112.0356875,100.745,-3,-1,1,1,2.7964,0.414898023
2016/1/20,0.308779266,0.340997659,0.239466667,111.9471644,100.765,-3,-2,1,1,2.8114,0.422370947
2016/1/21,0.315247372,0.340119632,0.238666667,111.9908454,100.875,-3,-2,1,1,2.7914,0.422653407
2016/1/22,0.319892104,0.34274029,0.2516,112.1897425,100.845,-3,-3,1,1,2.7741,0.422903152
2016/1/25,0.325430301,0.343411697,0.2504,111.669493,100.52,-3,-3,1,1,2.859,0.431828547
2016/1/26,0.326998352,0.338654269,0.244866667,111.713068,100.56,-3,-3,1,1,2.8616,0.430321461
2016/1/27,0.332648354,0.337734852,0.248266667,111.084252,100.45,-3,-3,1,1,2.9016,0.440664289
2016/1/28,0.330223545,0.335871377,0.257066667,111.0819878,100.57,-2,-3,1,1,2.8866,0.438272781
2016/1/29,0.325496836,0.332246065,0.267266667,111.4606211,100.78,0,-2,1,1,2.8419,0.42486895
2016/2/1,0.32406169,0.328505946,0.262466667,111.5009647,100.75,0,-2,1,1,2.8368,0.42393733
2016/2/2,0.327996635,0.332411511,0.259266667,110.9456222,100.545,0,-1,1,-1,2.8818,0.433186641
2016/2/3,0.329683861,0.331086726,0.2602,110.6774913,100.6,0,-1,1,-1,2.8918,0.438429685
2016/2/4,0.325553699,0.328766623,0.2726,110.8095447,100.72,-1,-1,1,-1,2.855,0.431312132
2016/2/5,0.323863779,0.327309944,0.268333333,110.9194656,100.7952765,-1,0,1,-1,2.8535,0.428823472
2016/2/6,0.324119355,0.327896888,0.269133333,110.7172026,100.7952765,-1,0,1,-1,2.8535,0.430921053
2016/2/14,0.324049932,0.32808559,0.241133333,111.7332832,100.7952765,-1,-1,-1,1,2.8221,0.43074787
2016/2/15,0.324017537,0.331162628,0.247933333,111.5283727,101.031143,-4,-1,-1,1,2.8371,0.431625549
2016/2/16,0.32520927,0.331812995,0.263733333,111.0611557,100.8554978,-4,-1,-1,-1,2.8376,0.434626201
2016/2/17,0.321533082,0.332797538,0.2654,110.9465752,100.835424,-4,-1,-1,-1,2.8351,0.439119392
2016/2/18,0.31757342,0.33321374,0.2716,111.0746046,100.8856084,-4,-1,-1,-1,2.8351,0.433702692
2016/2/19,0.313470796,0.318282672,0.2664,111.052578,100.8454609,-4,-1,-1,-1,2.8251,0.426601038
2016/2/22,0.315468073,0.320673401,0.272733333,111.0103252,100.7701844,-4,0,-1,-1,2.8426,0.427376449
2016/2/23,0.317451301,0.321825909,0.2616,110.9834274,100.7501106,-5,0,-1,-1,2.8451,0.426127915
2016/2/24,0.322320257,0.321708183,0.2546,110.8182282,100.7651659,-5,0,-1,-1,2.8676,0.429652854
2016/2/25,0.335771115,0.319109666,0.2612,110.6512288,100.684871,-4,0,-1,-1,2.8651,0.43290935
2016/2/26,0.344184616,0.315477839,0.263933333,110.8025555,100.7300369,-6,0,-1,-1,2.8551,0.434264796
2016/2/29,0.349582807,0.315551909,0.253333333,110.7349933,100.8103318,-3,0,-1,-1,2.8502,0.432255099
2016/3/1,0.346157983,0.317524137,0.273866667,110.7337225,100.8906268,-3,0,-1,-1,2.8527,0.424528195
2016/3/2,0.344650466,0.321248469,0.293466667,110.5560275,100.7802212,-3,0,-1,-1,2.8752,0.427129941
2016/3/3,0.33925955,0.322650359,0.3076,110.3129942,100.5845022,-3,0,-1,-1,2.9002,0.427753354
2016/3/4,0.329412245,0.322063963,0.321,110.4633678,100.7099631,-3,0,-1,-1,2.8952,0.425357537
2016/3/7,0.326693596,0.328312363,0.326866667,110.1770226,100.4841335,-4,0,-1,-1,2.9303,0.426396731
2016/3/8,0.323097333,0.335261484,0.313666667,110.0665722,100.5694469,-3,0,-1,-1,2.9352,0.424847427
2016/3/9,0.32055078,0.33818205,0.319133333,110.4160319,100.8053134,-4,0,-1,-1,2.8928,0.420717657
2016/3/10,0.317674773,0.340402068,0.3282,110.6611832,100.9056821,-4,0,0,-1,2.8653,0.416049414
2016/3/11,0.315184485,0.343787993,0.347,110.9064403,101.0562352,-4,0,0,-1,2.8453,0.414919234
2016/3/14,0.313610093,0.350726089,0.347933333,110.1402764,101.0411799,-6,0,0,-1,2.8504,0.411783875
2016/3/15,0.318231602,0.352811846,0.338133333,110.8054147,101.0361614,-6,0,0,-1,2.8404,0.415364469
2016/3/16,0.317554965,0.352076164,0.349266667,110.9695549,101.146567,-6,0,0,-1,2.8054,0.414343253
2016/3/17,0.321093315,0.352158581,0.364466667,110.6992001,101.0211061,-6,0,0,-1,2.8154,0.409237875
2016/3/18,0.330378977,0.367783861,0.375066667,110.7028006,101.031143,-6,0,0,-1,2.8229,0.411321903
2016/3/21,0.336869653,0.371972738,0.377533333,110.6038929,100.8705531,-7,0,0,-1,2.8305,0.414636384
2016/3/22,0.342434905,0.375953839,0.3806,110.5989158,100.9759402,-8,0,0,-1,2.8304,0.417038888
