DT,ts_code,trade_date,OPEN,CLOSE,HIGH,LOW,pre_close,change,pct_chg,swing,vol
2015-01-02,FTSE,20150102,6566.09,6547.8,6607.89,6510.6,6566.09,-18.29,-0.28,1.48,378930.07
2015-01-05,FTSE,20150105,6547.8,6417.16,6576.74,6404.49,6547.8,-130.64,-2.0,2.63,750516.57
2015-01-06,FTSE,20150106,6417.16,6366.51,6452.66,6328.59,6417.16,-50.65,-0.79,1.93,793260.82
2015-01-07,FTSE,20150107,6366.51,6419.83,6459.74,6366.51,6366.51,53.32,0.84,1.46,712496.38
2015-01-08,FTSE,20150108,6419.83,6569.96,6580.82,6419.83,6419.83,150.13,2.34,2.51,910041.38
2015-01-09,FTSE,20150109,6569.96,6501.14,6570.24,6471.38,6569.96,-68.82,-1.05,1.5,763728.25
2015-01-12,FTSE,20150112,6501.14,6501.42,6542.43,6447.91,6501.14,0.28,0.0,1.45,620941.32
2015-01-13,FTSE,20150113,6501.42,6542.2,6558.83,6465.19,6501.42,40.78,0.63,1.44,694405.0
2015-01-14,FTSE,20150114,6542.2,6388.46,6542.2,6353.65,6542.2,-153.74,-2.35,2.88,1001295.9
2015-01-15,FTSE,20150115,6388.46,6498.78,6498.78,6298.15,6388.46,110.32,1.73,3.14,1010360.4
2015-01-16,FTSE,20150116,6498.78,6550.27,6553.2,6443.28,6498.78,51.49,0.79,1.69,830661.75
2015-01-19,FTSE,20150119,6550.27,6585.53,6598.89,6548.0,6550.27,35.26,0.54,0.78,554552.32
2015-01-20,FTSE,20150120,6585.53,6620.1,6640.44,6585.53,6585.53,34.57,0.52,0.83,698784.94
2015-01-21,FTSE,20150121,6620.1,6728.04,6728.04,6620.1,6620.1,107.94,1.63,1.63,873803.69
2015-01-22,FTSE,20150122,6728.04,6796.63,6808.18,6726.24,6728.04,68.59,1.02,1.22,954658.13
2015-01-23,FTSE,20150123,6796.63,6832.83,6841.73,6796.58,6796.63,36.2,0.53,0.66,865328.07
2015-01-26,FTSE,20150126,6832.83,6852.4,6855.92,6790.13,6832.83,19.57,0.29,0.96,630840.19
2015-01-27,FTSE,20150127,6852.4,6811.61,6864.97,6773.54,6852.4,-40.79,-0.6,1.33,735986.63
2015-01-28,FTSE,20150128,6811.61,6825.94,6863.0,6777.08,6811.61,14.33,0.21,1.26,803715.25
2015-01-29,FTSE,20150129,6825.94,6810.6,6825.94,6750.22,6825.94,-15.34,-0.22,1.11,726306.32
2015-01-30,FTSE,20150130,6810.6,6749.4,6843.98,6749.4,6810.6,-61.2,-0.9,1.39,824079.75
2015-02-02,FTSE,20150202,6749.4,6782.55,6795.52,6731.99,6749.4,33.15,0.49,0.94,780983.88
2015-02-03,FTSE,20150203,6782.55,6871.8,6886.31,6782.39,6782.55,89.25,1.32,1.53,882173.69
2015-02-04,FTSE,20150204,6871.8,6860.02,6883.49,6804.1,6871.8,-11.78,-0.17,1.16,843140.0
2015-02-05,FTSE,20150205,6860.02,6865.93,6870.1,6808.19,6860.02,5.91,0.09,0.9,753814.82
2015-02-06,FTSE,20150206,6865.93,6853.44,6886.22,6835.48,6865.93,-12.49,-0.18,0.74,668591.38
2015-02-09,FTSE,20150209,6853.44,6837.15,6853.44,6777.99,6853.44,-16.29,-0.24,1.1,639894.0
2015-02-10,FTSE,20150210,6837.15,6829.12,6843.9,6788.89,6837.15,-8.03,-0.12,0.8,797018.94
2015-02-11,FTSE,20150211,6829.12,6818.17,6838.33,6786.12,6829.12,-10.95,-0.16,0.76,642552.38
2015-02-12,FTSE,20150212,6818.17,6828.11,6854.62,6817.23,6818.17,9.94,0.15,0.55,834910.63
2015-02-13,FTSE,20150213,6828.11,6873.52,6887.57,6828.11,6828.11,45.41,0.67,0.87,758321.32
2015-02-16,FTSE,20150216,6873.52,6857.05,6878.66,6851.77,6873.52,-16.47,-0.24,0.39,428844.38
2015-02-17,FTSE,20150217,6857.05,6898.13,6898.13,6819.78,6857.05,41.08,0.6,1.14,632109.38
2015-02-18,FTSE,20150218,6898.13,6898.08,6921.32,6876.3,6898.13,-0.05,0.0,0.65,698356.07
2015-02-19,FTSE,20150219,6898.08,6888.9,6907.3,6858.67,6898.08,-9.18,-0.13,0.7,661607.82
2015-02-20,FTSE,20150220,6888.9,6915.2,6920.51,6884.77,6888.9,26.3,0.38,0.52,787658.57
2015-02-23,FTSE,20150223,6915.2,6912.16,6943.61,6885.89,6915.2,-3.04,-0.04,0.83,701861.32
2015-02-24,FTSE,20150224,6912.16,6949.63,6958.89,6899.59,6912.16,37.47,0.54,0.86,857360.75
2015-02-25,FTSE,20150225,6949.63,6935.38,6955.41,6904.88,6949.63,-14.25,-0.21,0.73,719283.32
2015-02-26,FTSE,20150226,6935.38,6949.73,6949.98,6920.54,6935.38,14.35,0.21,0.42,806275.32
2015-02-27,FTSE,20150227,6949.73,6946.66,6967.24,6929.84,6949.73,-3.07,-0.04,0.54,908844.32
2015-03-02,FTSE,20150302,6946.66,6940.64,6974.26,6924.33,6946.66,-6.02,-0.09,0.72,802784.0
2015-03-03,FTSE,20150303,6940.64,6889.13,6963.55,6889.13,6940.64,-51.51,-0.74,1.07,808286.0
