DT,ts_code,trade_date,OPEN,CLOSE,HIGH,LOW,pre_close,change,pct_chg,swing,vol
2015-01-02,SPTSX,20150102,696.54,706.82,706.82,694.16,695.53,11.29,1.62,1.82,32502.0
2015-01-05,SPTSX,20150105,705.01,693.99,705.01,690.58,706.82,-12.83,-1.82,2.04,52145.0
2015-01-06,SPTSX,20150106,690.89,685.6,691.06,680.98,693.99,-8.39,-1.21,1.45,55753.0
2015-01-07,SPTSX,20150107,685.84,683.65,686.99,681.45,685.6,-1.95,-0.28,0.81,45577.0
2015-01-08,SPTSX,20150108,688.22,687.48,690.23,685.37,683.65,3.83,0.56,0.71,36060.0
2015-01-09,SPTSX,20150109,687.01,687.21,687.61,681.7,687.48,-0.27,-0.04,0.86,45467.0
2015-01-12,SPTSX,20150112,686.52,679.99,686.52,676.55,687.21,-7.22,-1.05,1.45,55628.0
2015-01-13,SPTSX,20150113,679.16,670.65,679.63,668.09,679.99,-9.34,-1.37,1.7,53236.0
2015-01-14,SPTSX,20150114,669.91,659.69,670.01,658.88,670.65,-10.96,-1.63,1.66,51160.0
2015-01-15,SPTSX,20150115,662.94,659.24,666.46,657.81,659.69,-0.45,-0.07,1.31,61431.0
2015-01-16,SPTSX,20150116,659.24,667.31,670.28,658.63,659.24,8.07,1.22,1.77,60032.0
2015-01-19,SPTSX,20150119,675.81,673.16,675.81,670.81,667.31,5.85,0.88,0.75,56221.0
2015-01-20,SPTSX,20150120,674.0,671.57,679.19,671.57,673.16,-1.59,-0.24,1.13,85772.0
2015-01-21,SPTSX,20150121,674.49,679.05,679.77,674.0,671.57,7.48,1.11,0.86,70589.0
2015-01-22,SPTSX,20150122,680.88,678.97,682.2,676.82,679.05,-0.08,-0.01,0.79,60244.0
2015-01-23,SPTSX,20150123,680.21,678.18,681.35,674.14,678.97,-0.79,-0.12,1.06,66004.0
2015-01-26,SPTSX,20150126,676.57,674.39,676.97,671.22,678.18,-3.79,-0.56,0.85,64042.0
2015-01-27,SPTSX,20150127,673.41,676.77,677.71,671.27,674.39,2.38,0.35,0.95,78926.0
2015-01-28,SPTSX,20150128,676.21,667.3,676.59,666.74,676.77,-9.47,-1.4,1.46,91626.0
2015-01-29,SPTSX,20150129,666.5,667.11,668.21,661.62,667.3,-0.19,-0.03,0.99,96910.0
2015-01-30,SPTSX,20150130,667.14,676.81,677.61,666.61,667.11,9.7,1.45,1.65,85428.0
2015-02-02,SPTSX,20150202,680.24,685.25,685.79,678.37,676.81,8.44,1.25,1.1,57797.0
2015-02-03,SPTSX,20150203,689.7,692.32,694.91,689.45,685.25,7.07,1.03,0.8,85274.0
2015-02-04,SPTSX,20150204,692.53,686.67,693.12,686.28,692.32,-5.65,-0.82,0.99,70900.0
2015-02-05,SPTSX,20150205,690.06,693.93,694.32,689.24,686.67,7.26,1.06,0.74,79835.0
2015-02-06,SPTSX,20150206,694.74,693.44,694.74,690.18,693.93,-0.49,-0.07,0.66,94886.0
2015-02-09,SPTSX,20150209,694.83,696.19,698.56,693.89,693.44,2.75,0.4,0.67,72875.0
2015-02-10,SPTSX,20150210,696.95,691.04,698.77,689.68,696.19,-5.15,-0.74,1.31,55437.0
2015-02-11,SPTSX,20150211,691.48,690.22,692.19,689.28,691.04,-0.82,-0.12,0.42,61556.0
2015-02-12,SPTSX,20150212,690.44,692.44,693.89,690.44,690.22,2.22,0.32,0.5,79668.0
2015-02-13,SPTSX,20150213,694.86,696.51,697.68,692.85,692.44,4.07,0.59,0.7,76062.0
2015-02-17,SPTSX,20150217,700.32,697.67,700.4,694.56,696.51,1.16,0.17,0.84,83877.0
2015-02-18,SPTSX,20150218,698.65,697.98,699.73,695.33,697.67,0.31,0.04,0.63,80315.0
2015-02-19,SPTSX,20150219,696.99,692.03,697.77,691.25,697.98,-5.95,-0.85,0.93,66549.0
2015-02-20,SPTSX,20150220,694.24,694.94,698.31,694.09,692.03,2.91,0.42,0.61,63920.0
2015-02-23,SPTSX,20150223,693.01,692.23,694.66,689.92,694.94,-2.71,-0.39,0.68,78760.0
2015-02-24,SPTSX,20150224,692.21,692.06,693.47,689.16,692.23,-0.17,-0.02,0.62,78493.0
2015-02-25,SPTSX,20150225,693.24,699.49,700.54,692.61,692.06,7.43,1.07,1.15,77810.0
2015-02-26,SPTSX,20150226,701.24,700.93,704.05,699.11,699.49,1.44,0.21,0.71,64558.0
2015-02-27,SPTSX,20150227,702.42,706.73,706.73,700.44,700.93,5.8,0.83,0.9,62275.0
2015-03-02,SPTSX,20150302,707.6,704.3,707.94,702.58,706.73,-2.43,-0.34,0.76,77190.0
2015-03-03,SPTSX,20150303,705.22,702.3,705.22,701.71,704.3,-2.0,-0.28,0.5,73848.0
2015-03-04,SPTSX,20150304,703.72,698.09,703.72,696.59,702.3,-4.21,-0.6,1.02,75001.0
2015-03-05,SPTSX,20150305,699.43,696.92,699.51,695.22,698.09,-1.17,-0.17,0.61,156022.0
2015-03-06,SPTSX,20150306,695.3,688.79,695.86,687.58,696.92,-8.13,-1.17,1.19,84015.0
2015-03-09,SPTSX,20150309,687.58,680.68,689.29,679.78,688.79,-8.11,-1.18,1.38,65027.0
2015-03-10,SPTSX,20150310,678.39,669.5,679.73,668.28,680.68,-11.18,-1.64,1.68,62596.0
2015-03-11,SPTSX,20150311,668.84,669.63,670.38,666.73,669.5,0.13,0.02,0.55,82497.0
2015-03-12,SPTSX,20150312,670.69,673.77,673.77,668.49,669.63,4.14,0.62,0.79,119522.0
2015-03-13,SPTSX,20150313,672.6,664.6,672.75,662.37,673.77,-9.17,-1.36,1.54,70484.0
2015-03-16,SPTSX,20150316,665.48,663.84,666.98,661.3,664.6,-0.76,-0.11,0.85,72054.0
2015-03-17,SPTSX,20150317,662.85,659.21,663.23,657.18,663.84,-4.63,-0.7,0.91,55641.0
2015-03-18,SPTSX,20150318,659.54,666.36,666.44,657.9,659.21,7.15,1.08,1.3,53575.0
2015-03-19,SPTSX,20150319,665.3,667.09,667.51,663.32,666.36,0.73,0.11,0.63,61676.0
2015-03-20,SPTSX,20150320,667.59,670.59,670.59,666.16,667.09,3.5,0.52,0.66,59004.0
2015-03-23,SPTSX,20150323,670.91,670.56,673.59,670.07,670.59,-0.03,0.0,0.52,64079.0
2015-03-24,SPTSX,20150324,673.31,674.2,675.11,672.37,670.56,3.64,0.54,0.41,70522.0
2015-03-25,SPTSX,20150325,675.37,677.24,678.28,675.04,674.2,3.04,0.45,0.48,95876.0
2015-03-26,SPTSX,20150326,678.94,679.56,682.04,674.79,677.24,2.32,0.34,1.07,92085.0
2015-03-27,SPTSX,20150327,679.75,681.43,681.59,676.02,679.56,1.87,0.28,0.82,84337.0
